0,-330,77,0.181818,0.285714,0.246753,0.207792,0.25974,0.233766
0,-181,72,0.388889,0.305556,0.152778,0.223684,0.236842,0.263158
0,-508,117,0.222222,0.222222,0.222222,0.188034,0.222222,0.290598
1,-438,68,0.308824,0.294118,0.205882,0.181818,0.142857,0.350649
1,-514,77,0.207792,0.220779,0.272727,0.188235,0.235294,0.258824
0,-480,118,0.254237,0.169492,0.29661,0.210084,0.210084,0.277311
1,-742,118,0.254237,0.237288,0.237288,0.210084,0.176471,0.302521
0,-168,104,0.346154,0.201923,0.240385,0.256198,0.22314,0.247934
0,-709,117,0.196581,0.153846,0.307692,0.210084,0.176471,0.310924
0,-573,119,0.201681,0.134454,0.302521,0.210084,0.176471,0.310924
1,-668,118,0.218487,0.218487,0.268908,0.237288,0.20339,0.279661
0,-594,118,0.241667,0.233333,0.25,0.186441,0.177966,0.313559
1,-746,117,0.188034,0.222222,0.290598,0.201681,0.201681,0.285714
0,-330,118,0.239669,0.239669,0.247934,0.228814,0.194915,0.288136
1,-715,120,0.186992,0.260163,0.211382,0.233333,0.216667,0.25
1,-1056,120,0.180451,0.142857,0.338346,0.233333,0.216667,0.266667
1,-624,77,0.166667,0.192308,0.320513,0.181818,0.142857,0.350649
1,-772,120,0.2,0.275,0.241667,0.231405,0.231405,0.247934
0,-472,116,0.241667,0.233333,0.275,0.215517,0.198276,0.275862
0,-285,76,0.210526,0.276316,0.197368,0.197368,0.276316,0.236842
0,-118,70,0.25,0.236842,0.236842,0.371429,0.242857,0.228571
0,-401,120,0.233333,0.216667,0.266667,0.225,0.216667,0.266667
1,-626,84,0.238095,0.214286,0.25,0.238095,0.214286,0.25
1,-335,75,0.355263,0.355263,0.131579,0.253333,0.146667,0.293333
0,-599,118,0.211864,0.194915,0.29661,0.216667,0.225,0.25
0,-390,85,0.186047,0.162791,0.313953,0.164706,0.235294,0.258824
0,-370,75,0.16,0.213333,0.293333,0.228916,0.216867,0.240964
0,-330,77,0.207792,0.220779,0.246753,0.168831,0.207792,0.272727
1,-575,75,0.197368,0.184211,0.302632,0.24,0.133333,0.306667
0,-499,117,0.239316,0.213675,0.222222,0.211864,0.20339,0.288136
0,-406,119,0.260504,0.210084,0.235294,0.2,0.208333,0.266667
0,-230,76,0.25,0.223684,0.236842,0.194805,0.194805,0.298701
0,-621,116,0.206897,0.198276,0.275862,0.193277,0.176471,0.302521
0,-455,119,0.235294,0.226891,0.252101,0.243697,0.226891,0.252101
0,-190,87,0.275862,0.310345,0.16092,0.275862,0.310345,0.16092
0,-481,120,0.241667,0.241667,0.241667,0.225,0.258333,0.233333
0,-296,75,0.24,0.16,0.28,0.188235,0.235294,0.258824
0,-365,112,0.196429,0.241071,0.267857,0.228814,0.20339,0.271186
1,-343,71,0.450704,0.239437,0.169014,0.207792,0.168831,0.337662
1,-750,116,0.206897,0.172414,0.301724,0.2,0.233333,0.266667
0,-59,72,0.181818,0.207792,0.298701,0.361111,0.347222,0.180556
0,-442,120,0.208333,0.216667,0.275,0.266667,0.233333,0.258333
0,-223,72,0.402778,0.347222,0.111111,0.184211,0.223684,0.263158
1,-900,117,0.193548,0.169355,0.314516,0.247863,0.239316,0.196581
1,-805,118,0.258333,0.225,0.233333,0.194915,0.186441,0.305085
0,-296,77,0.141026,0.179487,0.346154,0.207792,0.25974,0.233766
0,-490,118,0.256198,0.22314,0.239669,0.220339,0.194915,0.288136
0,-341,77,0.172414,0.218391,0.275862,0.220779,0.272727,0.207792
0,-501,116,0.206897,0.206897,0.267241,0.256198,0.22314,0.247934
